cuentaimputadaid,cuenta_padre,cuenta,cuentaanalisis,sucursal,centrocosto,debe,haber,deudor,acreedor,activo,pasivo,ingreso,gasto,tipocuentaid
40026546,1106 DEUDORES VARIOS,1106-50 INVERSIONES EN EL EXTRANJERO,,,,0,0,0,0,0,0,0,0,1
40026557,1106 DEUDORES VARIOS,1106-51 PRESTAMO A SAFI PERU,,,,0,0,0,0,0,0,0,0,1
40026561,1106 DEUDORES VARIOS,1106-52 OTRAS GARANTIAS,,,,0,0,0,0,0,0,0,0,1
40026603,1106 DEUDORES VARIOS,1106-53 CTA CTE EERR INV SANTA VICTORIA,,,,0,0,0,0,0,0,0,0,1
40026612,1106 DEUDORES VARIOS,1106-54 CTA CTE LUIS LEDESMA,,,,0,0,0,0,0,0,0,0,1
40026621,1106 DEUDORES VARIOS,1106-55 CTA POR COBRAR EERR PLAZA SUR,,,,0,0,0,0,0,0,0,0,1
40210954,1106 DEUDORES VARIOS,1106-56 INVERSION VINOEVENTOS SPA,,,,0,0,0,0,0,0,0,0,1
40026622,1106 DEUDORES VARIOS,1106-57 CTA POR COBRAR EERR CURICO,,,,0,0,0,0,0,0,0,0,1
40026623,1106 DEUDORES VARIOS,1106-58 CTA POR COBRAR EERR AGUIRRE Y VILLANUEVA,,,,0,0,0,0,0,0,0,0,1
40026629,1106 DEUDORES VARIOS,1106-59 CUENTA POR COBRAR EERR HELIDREAMS,,,,0,0,0,0,0,0,0,0,1
40026698,1106 DEUDORES VARIOS,1106-60 GPM CASA MATRIZ,,,,0,0,0,0,0,0,0,0,1
40026707,1106 DEUDORES VARIOS,1106-61 ANTICIPO DE VIATICO,,,,0,0,0,0,0,0,0,0,1
40026735,1106 DEUDORES VARIOS,1106-62 CTA CTE CLARITY SALES,,,,0,0,0,0,0,0,0,0,1
40026736,1106 DEUDORES VARIOS,1106-63 CTA CTE CLARITY AGRO,,,,0,0,0,0,0,0,0,0,1
40026737,1106 DEUDORES VARIOS,1106-64 CTA CTE CLARITY ENERGY,,,,0,0,0,0,0,0,0,0,1
40026738,1106 DEUDORES VARIOS,1106-65 CTA CTE SMARTCLARITY COLOMBIA SAS,,,,0,0,0,0,0,0,0,0,1
