idcuenta,tipocuentaid,tipocuenta,cuentamayor,subcuenta,cuentaanalisis,periodo,saldoanterior,saldo,generado_en
40025940,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-23 GASTOS AGUA,,2026-04-01T00:00:00.000Z,0,158050,2026-09-24T11:09:23.394Z
40025940,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-23 GASTOS AGUA,,2026-05-01T00:00:00.000Z,0,149110,2026-09-24T11:09:23.394Z
40025940,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-23 GASTOS AGUA,,2026-06-01T00:00:00.000Z,0,94050,2026-09-24T11:09:23.394Z
40025940,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-23 GASTOS AGUA,,2026-07-01T00:00:00.000Z,0,436600,2026-09-24T11:09:23.394Z
40025940,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-23 GASTOS AGUA,,2026-08-01T00:00:00.000Z,0,447780,2026-09-24T11:09:23.394Z
40025978,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-31 ASESORIAS,,2026-06-01T00:00:00.000Z,0,203952,2026-09-24T11:09:23.394Z
40026296,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-43 ASESORIAS CONTABLES,,2026-01-01T00:00:00.000Z,0,2526588,2026-09-24T11:09:23.394Z
40026296,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-43 ASESORIAS CONTABLES,,2026-02-01T00:00:00.000Z,0,738547,2026-09-24T11:09:23.394Z
40026296,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-43 ASESORIAS CONTABLES,,2026-03-01T00:00:00.000Z,0,739719,2026-09-24T11:09:23.394Z
40026296,4,Total Pérdidas,4101 COSTOS DE EXPLOTACION,4101-43 ASESORIAS CONTABLES,,2026-04-01T00:00:00.000Z,0,744038,2026-09-24T11:09:23.394Z
